Question,Answer
What are the symptoms of Osteoporosis ?,"Fractures -- A Possible Warning Sign Osteoporosis does not have any symptoms until a fracture occurs. Women and men with osteoporosis most often break bones in the hip, spine, and wrist. But any fracture in an older person could be a warning sign that the bone is weaker than optimal. Some people may be unaware that they have already experienced one or more spine fractures. Height loss of one inch or more may be the first sign that someone has experienced spine fractures due to osteoporosis. Multiple spine fractures can cause a curved spine, stooped posture, back pain, and back fatigue. Women and men who have had a fracture are at high risk of experiencing another one. A fracture over the age of 50 or several fractures before that age may be a warning sign that a person has already developed osteoporosis. People over the age of 50 who have experienced a fracture should talk to their doctor about getting evaluated for osteoporosis. Risk Factors for Fractures The more likely you are to fall, the higher your risk for a fracture. And more severe falls increase your risk for fractures. Factors that increase your risk of falling and of fracturing a bone include - decreased muscle strength   - poor balance  -  impaired eyesight  - impaired mental abilities   - certain medications, such as tranquilizers and muscle relaxants  - hazardous elements in your living environment, such as slippery throw rugs and icy sidewalks.  decreased muscle strength poor balance impaired eyesight impaired mental abilities certain medications, such as tranquilizers and muscle relaxants hazardous elements in your living environment, such as slippery throw rugs and icy sidewalks. The angle at which you fall also affects your risk of fracture. Hip Fractures Although low bone mass (or low bone density) plays an important role in determining a person's risk of osteoporosis, it is only one of many risk factors for fractures. Various aspects of bone geometry, such as tallness, hip structure, and thighbone (femur) length, can also affect your chances of breaking a bone if you fall. Increasing age, too much weight loss, a history of fractures since age 50, having an existing spine fracture, and having a mother who fractured her hip all increase the risk of hip fracture regardless of a person's bone density. People with more risk factors have a higher chance of suffering a hip fracture."
what research (or clinical trials) is being done for Osteoporosis ?,"Scientists are pursuing a wide range of basic and clinical studies on osteoporosis. Significant advances in preventing and treating osteoporosis continue to be made. Such advances are the direct result of research focused on -  determining the causes and consequences of bone loss at the cellular and tissue levels  - assessing risk factors  - developing new strategies to maintain and even enhance bone density and reduce fracture risk  - exploring the roles of such factors as genetics, hormones, calcium, vitamin D, drugs, and exercise on bone mass. determining the causes and consequences of bone loss at the cellular and tissue levels assessing risk factors developing new strategies to maintain and even enhance bone density and reduce fracture risk exploring the roles of such factors as genetics, hormones, calcium, vitamin D, drugs, and exercise on bone mass.  Get more information about ongoing research on osteoporosis from the National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) at NIH."
What is (are) Osteoporosis ?,"Osteoporosis is a disease that thins and weakens the bones to the point that they break easily. Women and men with osteoporosis most often break bones in the hip, spine, and wrist, but osteoporosis can be the cause of bone fractures anywhere."
Who is at risk for Osteoporosis? ?,"Some risk factors for osteoporosis cannot be changed. These include - Gender. Women are at higher risk for osteoporosis than men. They have smaller bones and lose bone more rapidly than men do because of hormone changes that occur after menopause. Therefore, if you are a woman, you are at higher risk for osteoporosis.  - Age. Because bones become thinner with age, the older you are, the greater your risk of osteoporosis.  - Ethnicity. Caucasian and Asian women are at the highest risk for osteoporosis. This is mainly due to differences in bone mass and density compared with other ethnic groups. African-American and Hispanic women are also at risk, but less so.  - Family History. Osteoporosis tends to run in families. If a family member has osteoporosis or breaks a bone, there is a greater chance that you will too.  - History of Previous Fracture. People who have had a fracture after the age of 50 are at high risk of having another. Gender. Women are at higher risk for osteoporosis than men. They have smaller bones and lose bone more rapidly than men do because of hormone changes that occur after menopause. Therefore, if you are a woman, you are at higher risk for osteoporosis. Age. Because bones become thinner with age, the older you are, the greater your risk of osteoporosis. Ethnicity. Caucasian and Asian women are at the highest risk for osteoporosis. This is mainly due to differences in bone mass and density compared with other ethnic groups. African-American and Hispanic women are also at risk, but less so. Family History. Osteoporosis tends to run in families. If a family member has osteoporosis or breaks a bone, there is a greater chance that you will too. History of Previous Fracture. People who have had a fracture after the age of 50 are at high risk of having another."
Who is at risk for Osteoporosis? ?,"Here are risk factors for osteoporosis that you can control. -  Poor diet. Getting too little calcium over your lifetime can increase your risk for osteoporosis. Not getting enough vitamin D -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. Vitamin D is important because it helps the body absorb calcium. An overall diet adequate in protein and other vitamins and minerals is also essential for bone health.  - Physical inactivity. Not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. Like muscles, bones become stronger with exercise.  - Smoking. Cigarette smokers may absorb less calcium from their diets. In addition, women who smoke have lower levels of estrogen in their bodies.  Learn more about smoking and bone health.    - Medications.  Some commonly used medicines can cause loss of bone mass. These include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. Using too much thyroid hormone for an underactive thyroid can also be a problem. Talk to your doctor about the medications you are taking and what you can do to protect your bones.  - Low body weight. Women who are thin -- and small-boned -- are at greater risk for osteoporosis. Poor diet. Getting too little calcium over your lifetime can increase your risk for osteoporosis. Not getting enough vitamin D -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. Vitamin D is important because it helps the body absorb calcium. An overall diet adequate in protein and other vitamins and minerals is also essential for bone health. Physical inactivity. Not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. Like muscles, bones become stronger with exercise. Smoking. Cigarette smokers may absorb less calcium from their diets. In addition, women who smoke have lower levels of estrogen in their bodies.  Learn more about smoking and bone health.  Medications.  Some commonly used medicines can cause loss of bone mass. These include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. Using too much thyroid hormone for an underactive thyroid can also be a problem. Talk to your doctor about the medications you are taking and what you can do to protect your bones. Low body weight. Women who are thin -- and small-boned -- are at greater risk for osteoporosis."
Who is at risk for Osteoporosis? ?,"Women have smaller bones, and they lose bone more rapidly than men because of hormone changes that occur after menopause. Therefore, women are at higher risk for osteoporosis."
Who is at risk for Osteoporosis? ?,"The more likely you are to fall, the higher your risk for a fracture. And more severe falls increase your risk for fractures. Factors that increase your risk of falling and of fracturing a bone include - decreased muscle strength   - poor balance  -  impaired eyesight  - impaired mental abilities   - certain medications, such as tranquilizers and muscle relaxants  - hazardous elements in your living environment, such as slippery throw rugs and icy sidewalks.  decreased muscle strength poor balance impaired eyesight impaired mental abilities certain medications, such as tranquilizers and muscle relaxants hazardous elements in your living environment, such as slippery throw rugs and icy sidewalks."
What are the symptoms of Osteoporosis ?,Osteoporosis does not have any symptoms until a fracture occurs. Some people may be unaware that they have already experienced one or more spine fractures. Height loss of one inch or more may be the first sign that someone has experienced spinal fractures due to osteoporosis. People who have experienced a fracture are at high risk of having another one. A fracture over the age of 50 or several fractures before that age may be a warning sign that a person has already developed osteoporosis. Any fracture in an older person should be followed up for suspicion of osteoporosis.
How to diagnose Osteoporosis ?,"Diagnosing osteoporosis involves several steps, starting with a physical exam and a careful medical history, blood and urine tests, and possibly a bone mineral density assessment. When recording information about your medical history, your doctor will ask questions to find out whether you have risk factors for osteoporosis and fractures. The doctor may ask about -  any fractures you have had   -  your lifestyle (including diet, exercise habits, and whether you smoke)  - current or past health problems   - medications that could contribute to low bone mass and increased fracture risk  - your family history of osteoporosis and other diseases   - for women, your menstrual history.  any fractures you have had your lifestyle (including diet, exercise habits, and whether you smoke) current or past health problems medications that could contribute to low bone mass and increased fracture risk your family history of osteoporosis and other diseases for women, your menstrual history."
What is (are) Osteoporosis ?,"Millions of Americans are able to lead healthy, productive lives while living with osteoporosis. If you have been feeling symptoms of depressionsuch as loss of appetite, hopelessness, feeling useless and helpless, or having thoughts of suicidefor more than 2 weeks, consult a doctor, social worker, or therapist. Medications and counseling are available to fight depression.  Learn more about the emotional impact of osteoporosis.  Learn more about older adults and depression. (Watch the video to learn more about coping with osteoporosis. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)"
What causes Parkinson's Disease ?,"A Shortage of Dopamine Parkinson's disease occurs when nerve cells, or neurons, in an area of the brain that controls movement become impaired and/or die. Normally, these neurons produce an important brain chemical known as dopamine, but when the neurons die or become impaired, they produce less dopamine. This shortage of dopamine causes the movement problems of people with Parkinson's. Dopamine is a chemical messenger, or neurotransmitter. Dopamine is responsible for transmitting signals between the substantia nigra and multiple brain regions. The connection between the substantia nigra and the corpus striatum is critical to produce smooth, purposeful movement. Loss of dopamine in this circuit results in abnormal nerve-firing patterns within the brain that cause impaired movement. Loss of Norepinephrine People with Parkinson's also have loss of the nerve endings that produce the neurotransmitter norepinephrine. Norepinephrine, which is closely related to dopamine, is the main chemical messenger of the sympathetic nervous system. The sympathetic nervous system controls many automatic functions of the body, such as heart rate and blood pressure. The loss of norepinephrine might help explain several of the non-movement features of Parkinson's, such as fatigue, irregular blood pressure, decreased gastric motility or movement of food through the digestive tract, and postural hypotension. Postural hypotension is a sudden drop in blood pressure when a person stands up from a sitting or lying-down position. It may cause dizziness, lightheadedness, and in some cases, loss of balance or fainting. Lewy Bodies in Brain Cells Many brain cells of people with Parkinson's contain Lewy bodies. Lewy bodies are unusual deposits or clumps of the brain protein alpha-synuclein, along with other proteins, which are seen upon microscopic examination of the brain. Researchers do not yet know why Lewy bodies form or what role they play in the development of Parkinson's. The clumps may prevent the cell from functioning normally, or they may actually be helpful, perhaps by keeping harmful proteins ""locked up"" so the cells can function. Genetic Mutations Although some cases of Parkinson's appear to be hereditary, and a few can be traced to specific genetic mutations, most cases are sporadic. Sporadic means the disease occurs randomly and does not seem to run in families. Many researchers now believe that Parkinson's disease results from a combination of genetic and environmental factors. Scientists have identified several genetic mutations associated with Parkinson's including mutations in the alpha-synuclein gene. They think that many more genes may be linked to the disorder. Studying the genes responsible for inherited cases of Parkinson's can help researchers understand both inherited and sporadic cases. The same genes and proteins that are altered in inherited cases may also be altered in sporadic cases by environmental toxins or other factors. Researchers also hope that discovering genes will help identify new ways of treating Parkinson's. Environmental Toxins Although researchers increasingly recognize the importance of genetics in Parkinson's disease, most believe environmental exposures increase a person's risk of developing the disease. Even in inherited cases, exposure to toxins or other environmental factors may influence when symptoms of the disease appear or how the disease progresses. There are a number of toxins that can cause parkinsonian symptoms in humans. Researchers are pursuing the question of whether pesticides and other environmental factors not yet identified also may cause Parkinson's disease. Viruses are another possible environmental trigger for Parkinson's. Mitochondria and Free Radicals Research suggests that mitochondria may play a role in the development of Parkinson's disease. Mitochondria are the energy-producing components of the cell and are major sources of free radicals. Free radicals are molecules that damage membranes, proteins, DNA, and other parts of the cell. This damage is called oxidative stress. Changes to brain cells caused by oxidative stress, including free radical damage to DNA, proteins, and fats, have been found in people with Parkinson's. Clinical studies now underway test whether agents thought to improve energy metabolism and decrease oxidative stress slow the progression of Parkinson's disease. Recent evidence suggests that mutations in genes linked to Parkinsons disease result in mitochondrial dysfunction. Buildup of Harmful Proteins Other research suggests that the cell's protein disposal system may fail in people with Parkinson's, causing proteins like alpha-synuclein to build up to harmful levels and trigger premature cell death. Additional studies have found that clumps of protein that develop inside brain cells of people with Parkinson's may contribute to the death of nerve cells, or neurons. However, the exact role of the protein deposits remains unknown. These studies also found that inflammation, because of protein accumulation, toxins or other factors, may play a role in the disease. However, the exact role of the protein deposits remains unknown. Researchers are exploring the possibility of vaccine development to decrease or prevent the accumulation of alpha-synuclein. While mitochondrial dysfunction, oxidative stress, inflammation, and many other cellular processes may contribute to Parkinson's disease, scientists still do not know what causes cells that produce dopamine to die. Genes Linked to Parkinsons Researchers have discovered several genes that are linked to Parkinson's disease. The first to be identified was alpha-synuclein or SNCA . Studies have found that Lewy bodies from people with the sporadic form of Parkinson's contain clumps of alpha-synuclein protein. This discovery revealed a possible link between hereditary and sporadic forms of the disease. Other genes linked to Parkinson's include PARK2, PARK7, PINK1, and LRRK2. PARK2, PARK7, and PINK1 cause rare, early-onset forms of the disease. Mutations in the LRRK2 gene are common in specific populations, including in people with Parkinson's in North Africa. Researchers are continuing to study the normal functions and interactions of these genes in order to find clues about how Parkinson's develops. They also have identified a number of other genes and chromosome regions that may play a role in Parkinson's, but the nature of these links is not yet clear. Whole genome wide association studies, or GWAS, of thousands of people with Parkinson's disease are now underway to find gene variants that allow for an increased risk of developing Parkinson's but are not necessarily causes of this disorder by themselves. A recent international study found that two genes containing mutations known to cause rare hereditary forms of Parkinsons disease are also associated with the more common sporadic form of the disease. This finding came from a GWAS which looked at DNA samples of European people who had Parkinsons disease and from those who did not have the disorder."
What is (are) Parkinson's Disease ?,"Parkinson's disease is a brain disorder that leads to shaking, stiffness, and difficulty with walking, balance, and coordination. It currently affects about half a million people in the United States, although the numbers may be much higher. Parkinson's disease is both chronic, meaning it lasts for a long time, and progressive, meaning its symptoms grow worse over time. It is not contagious."
What are the symptoms of Parkinson's Disease ?,"Parkinson's belongs to a group of neurological conditions called movement disorders. The four main symptoms of Parkinson's disease are: - tremor, or trembling in hands, arms, legs, jaw, or head  - rigidity, or stiffness of the limbs and trunk  - bradykinesia, or slowness of movement  - postural instability, or impaired balance. tremor, or trembling in hands, arms, legs, jaw, or head rigidity, or stiffness of the limbs and trunk bradykinesia, or slowness of movement postural instability, or impaired balance. Other symptoms include depression, emotional changes, difficulty swallowing, speech changes, urinary problems, sleep problems, and dementia and other cognitive problems. Parkinson's symptoms usually begin gradually and get worse over time. As the symptoms become more severe, people with the disorder may have difficulty walking, talking, or completing other simple tasks. They also experience non-motor, or movement, symptoms including mental and behavioral changes, sleep problems, depression, memory difficulties, and fatigue. Parkinson's disease not only affects the brain, but the entire body. While the brain involvement is responsible for the core features, other affected locations contribute to the complicated picture of Parkinson's."
Who is at risk for Parkinson's Disease? ?,"About 60,000 Americans are diagnosed with Parkinson's disease each year. The disease strikes about 50 percent more men than women. The average age of onset is 60 years, and the risk of developing the disease increases with age. Parkinson's disease is also more common in developed countries, possibly because of increased exposure to pesticides or other environmental toxins."
What causes Parkinson's Disease ?,"Parkinson's disease occurs when nerve cells, or neurons, in an area of the brain that controls movement die or become impaired. Normally, these neurons produce an important brain chemical known as dopamine, but once the neurons become impaired, they produce less dopamine and eventually die. It is this shortage of dopamine that causes the movement problems of people with Parkinson's."
What is (are) Parkinson's Disease ?,"Dopamine is a brain chemical messenger, or neurotransmitter. It is responsible for transmitting signals between a brain region called the substantia nigra and multiple brain regions. The connection between the substantia nigra and the corpus striatum is critical to produce smooth, purposeful movement. Loss of dopamine results in abnormal nerve-firing patterns within the brain that cause impaired movement."
What is (are) Parkinson's Disease ?,"Lewy bodies are unusual deposits or clumps of the brain protein alpha-synuclein, along with other proteins, which are seen upon microscopic examination of the brain. Many brain cells of people with Parkinson's disease contain Lewy bodies. Researchers do not yet know why Lewy bodies form or what role they play in the development of Parkinson's disease. The clumps may prevent the cell from functioning normally, or they may actually be helpful, perhaps by keeping harmful proteins ""locked up"" so that the cells can function."
What is (are) Parkinson's Disease ?,"The Parkinsons Disease Biomarkers Identification Network, or PD-BIN, is an initiative developed by the National Institute of Neurological Disorders and Stroke to discover and validate biomarkers for Parkinsons disease. Biomarkers are measurable characteristics that can reveal whether the disease is developing or progressing. Biomarkers could help doctors detect Parkinsons disease before symptoms appear and improve diagnosis of the disorder."
What is (are) Parkinson's Disease ?,"The National Institute of Neurological Disorders and Stroke (NINDS) has launched a broad effort called NIH Exploratory Trials in Parkinson's Disease, or NET-PD, to find drugs to slow the progression of Parkinson's disease. The first studies tested several compounds. One of these, a nutritional supplement called creatine, is now being evaluated in a larger clinical trial to find out if it slows the clinical decline seen in people with Parkinson's disease. For more information on NET-PD trials visit: http://parkinsontrial.ninds.org."
What is (are) Breast Cancer ?,"The body is made up of many types of cells. Normally, cells grow, divide, and produce more cells as needed to keep the body healthy. Sometimes, however, the process goes wrong. Cells become abnormal and form more cells in an uncontrolled way. These extra cells form a mass of tissue, called a growth or tumor. Tumors can be benign, which means not cancerous, or malignant, which means cancerous."
What is (are) Breast Cancer ?,Breast cancer occurs when a malignant tumor forms in the breast tissue. The cancer can be found in the breast itself or in the ducts and lymph nodes that surround the breast.
What is (are) Breast Cancer ?,"When cancer spreads from its original location in the breast to another part of the body such as the brain, it is called metastatic breast cancer, not brain cancer. Doctors sometimes call this ""distant"" disease."
Who is at risk for Breast Cancer? ?,"Did You Know: Breast Cancer Statistics? Breast cancer is one of the most common cancers in American women. It is most common among women between the ages of 45-85. Today, more women are surviving breast cancer than ever before. Over two million women are breast cancer survivors. (Watch the video to learn more about breast cancer survival rates. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Men can get breast cancer too, although they account for only one percent of all reported cases. Read more about breast cancer in men."
What are the symptoms of Breast Cancer ?,"When breast cancer first develops, there may be no symptoms at all. But as the cancer grows, it can cause changes that women should watch for. You can help safeguard your health by learning the following warning signs of breast cancer. -  a lump or thickening in or near the breast or in the underarm area  - a change in the size or shape of the breast  - a dimple or puckering in the skin of the breast  -  a nipple turned inward into the breast  -  fluid, other than breast milk, from the nipple, especially if it's bloody  - scaly, red, or swollen skin on the breast, nipple, or areola (the dark area of skin around the nipple)  - dimples in the breast that look like the skin of an orange. a lump or thickening in or near the breast or in the underarm area a change in the size or shape of the breast a dimple or puckering in the skin of the breast a nipple turned inward into the breast fluid, other than breast milk, from the nipple, especially if it's bloody scaly, red, or swollen skin on the breast, nipple, or areola (the dark area of skin around the nipple) dimples in the breast that look like the skin of an orange. Don't Ignore Symptoms You should see your doctor about any symptoms like these. Most often, they are not cancer, but it's important to check with the doctor so that any problems can be diagnosed and treated as early as possible. Some women believe that as they age, health problems are due to ""growing older."" Because of this myth, many illnesses go undiagnosed and untreated. Don't ignore your symptoms because you think they are not important or because you believe they are normal for your age. Talk to your doctor."
How to prevent Breast Cancer ?,"When studying ways to prevent breast cancer, scientists look at risk factors and protective factors. Anything that increases your chance of developing cancer is called a cancer risk factor. Anything that decreases your chance of developing cancer is called a cancer protective factor. Some risk factors for cancer can be avoided, but many cannot. For example, both smoking and inheriting certain genes are risk factors for some types of cancer, but only smoking can be avoided. Regular exercise and a healthy diet may be protective factors for some types of cancer. Avoiding risk factors and increasing protective factors may lower your risk but it does not mean that you will not get cancer. Different ways to prevent cancer are being studied, including - changing lifestyle or eating habits  - avoiding things known to cause cancer  - taking medicine to treat a precancerous condition or to keep cancer from starting. changing lifestyle or eating habits avoiding things known to cause cancer taking medicine to treat a precancerous condition or to keep cancer from starting."
What are the symptoms of Breast Cancer ?,"When breast cancer first develops, there may be no symptoms at all. But as the cancer grows, it can cause changes that women should watch for. You can help safeguard your health by learning the following warning signs of breast cancer. - a lump or thickening in or near the breast or in the underarm area  - a change in the size or shape of the breast  - ridges or pitting of the breast; the skin looks like the skin of an orange  - a change in the way the skin of the breast, areola, or nipple looks or feels; for example, it may be warm, swollen, red, or scaly  - nipple discharge or tenderness, or the nipple is pulled back or inverted into the breast. a lump or thickening in or near the breast or in the underarm area a change in the size or shape of the breast ridges or pitting of the breast; the skin looks like the skin of an orange a change in the way the skin of the breast, areola, or nipple looks or feels; for example, it may be warm, swollen, red, or scaly nipple discharge or tenderness, or the nipple is pulled back or inverted into the breast. You should see your doctor about any symptoms like these. Most often, they are not cancer, but it's important to check with the doctor so that any problems can be diagnosed and treated as early as possible."
What is (are) Breast Cancer ?,"A mammogram can often detect breast changes in women who have no signs of breast cancer. Often, it can find a breast lump before it can be felt. If the results indicate that cancer might be present, your doctor will advise you to have a follow-up test called a biopsy."
What is (are) Heart Failure ?,"In heart failure, the heart cannot pump enough blood to meet the body's needs. In some cases, the heart cannot fill with enough blood. In other cases, the heart can't pump blood to the rest of the body with enough force. Some people have both problems. Heart failure develops over time as the pumping action of the heart gets weaker. It can affect either the right, the left, or both sides of the heart. Heart failure does not mean that the heart has stopped working or is about to stop working. When heart failure affects the left side of the heart, the heart cannot pump enough oxygen-rich blood to the rest of the body. When heart failure affects the right side, the heart cannot pump enough blood to the lungs, where it picks up oxygen. The Heart's Pumping Action In normal hearts, blood vessels called veins bring oxygen-poor blood from the body to the right side of the heart. It is then pumped through the pulmonary artery to the lungs, picking up oxygen. From there, the blood returns to the left side of the heart. Then it is pumped through a large artery called the aorta that distributes blood throughout the body. When the heart is weakened by heart failure, blood and fluid can back up into the lungs, and fluid builds up in the feet, ankles, and legs. People with heart failure often experience tiredness and shortness of breath. Heart Failure is Serious Heart failure is a serious and common condition. Scientists estimate that 5 million people in the U.S. have heart failure and that number is growing. It contributes to 300,000 deaths each year. Heart failure is most common in those age 65 and older and it is the number one reason older people are hospitalized. Other Names for Heart Failure Heart failure can also be called congestive heart failure, systolic heart failure, diastolic heart failure, left-sided heart failure, or right-sided heart failure."
Who is at risk for Heart Failure? ?,"Preventing Heart Failure There are a number of things you can do to reduce the risk for coronary artery disease and heart failure. These things include - keeping your cholesterol levels healthy  - keeping your blood pressure at a normal level  - managing diabetes   - maintaining a healthy weight   - quitting smoking  - limiting the amount of alcohol you drink  - following a heart healthy diet  - limiting the amount of sodium (salt) you consume  - getting regular exercise   - avoiding using illegal drugs. keeping your cholesterol levels healthy keeping your blood pressure at a normal level managing diabetes maintaining a healthy weight quitting smoking limiting the amount of alcohol you drink following a heart healthy diet limiting the amount of sodium (salt) you consume getting regular exercise avoiding using illegal drugs. Keep Your Cholesterol Levels Healthy Keeping your cholesterol levels healthy can help prevent coronary artery disease. Your goal for LDL, or ""bad,"" cholesterol, depends on how many other risk factors you have. Risk factors include - being a cigarette smoker  -  having high blood pressure   -  having low HDL cholesterol  -  being 45 or older if you are a man and 55 or older if you are a woman  -  having a close relative who had coronary artery disease at an earlier-than-usual age (before age 55 for male relatives and before age 65 for female relatives).  being a cigarette smoker having high blood pressure having low HDL cholesterol being 45 or older if you are a man and 55 or older if you are a woman having a close relative who had coronary artery disease at an earlier-than-usual age (before age 55 for male relatives and before age 65 for female relatives). Recommended LDL Cholesterol Goals -  If you don't have coronary heart disease or diabetes and have one or no risk factors, your LDL goal is less than 160 mg/dL.  - If you don't have coronary heart disease or diabetes and have two or more risk factors, your LDL goal is less than 130 mg/dL.  - If you do have coronary heart disease or diabetes, your LDL goal is less than 100 mg/dL.   - The goal for HDL, or ""good,"" cholesterol is above 40 in men and above 50 in women.  - The goal for triglycerides, another fat in the blood, is below 150.  If you don't have coronary heart disease or diabetes and have one or no risk factors, your LDL goal is less than 160 mg/dL. If you don't have coronary heart disease or diabetes and have two or more risk factors, your LDL goal is less than 130 mg/dL. If you do have coronary heart disease or diabetes, your LDL goal is less than 100 mg/dL. The goal for HDL, or ""good,"" cholesterol is above 40 in men and above 50 in women. The goal for triglycerides, another fat in the blood, is below 150. Learn how to control your cholesterol with TLC -- Therapeutic Lifestyle Changes.  Keep Blood Pressure at a Normal Level High blood pressure causes the heart to get larger and work harder, which can then lead to heart failure. You should aim for a blood pressure level of 130/80 or below. Talk to your doctor about ways to lower your blood pressure.  Get tips on how to control your blood pressure.  Manage Diabetes If you have diabetes, its important to manage it properly. Diabetes is characterized by having too much glucose, or sugar, in the blood for a long time. This can cause heart problems because high blood glucose can damage parts of the body such as the heart and blood vessels. This damage weakens the heart, often leading to heart failure. See ways to manage your diabetes every day.  Maintain a Healthy Weight Excess weight puts strain on the heart. Being overweight also increases your risk of heart disease and type 2 diabetes. These diseases can lead to heart failure.  See a sensible approach to weight loss.  Don't Smoke If you smoke, quit. For free help quitting, call a smoking quit line.  See medications to help you quit.  Follow a Heart Healthy Diet Heart-healthy foods include those high in fiber, such as oat bran, oatmeal, whole-grain breads and cereals, fruits, and vegetables. You can also maintain a heart-healthy diet by limiting foods that are high in saturated fat, trans-fat, and cholesterol, such as meats, butter, dairy products with fat, eggs, shortening, lard, and foods with palm oil or coconut oil. For more on healthy eating, see Eating Well As You Get Older. Limit the Amount of Alcohol You Drink In general, healthy men and women over age 65 should not drink more than three drinks a day or a total of seven drinks a week. Learn how alcohol affects you as get older.  Limit the Amount of Sodium Sodium contributes to high blood pressure and fluid retention. Older adults should limit their intake of sodium to1,500 milligrams daily (about 2/3 tsp. of salt).  See ways to cut back on your salt intake.  Get Regular Exericse Studies show that people with heart disease, diabetes, and high blood pressure benefit from regular exercise. In fact, inactive people are nearly twice as likely to develop heart disease as those who are more active. Aim for at least 30 minutes a day of exercise. Check with your doctor before starting any exercise program. For information on exercise and older adults, see  Benefits of Exercise or visit Go4Life, the exercise and physical activity campaign for older adults from the National Institute on Aging."
What are the symptoms of Heart Failure ?,"Common Symptoms The most common symptoms of heart failure include shortness of breath or difficulty breathing, feeling tired, and swelling. Swelling usually occurs in the ankles, feet, legs, and sometimes in the abdomen. Swelling is caused by fluid buildup in the body. The fluid buildup can lead to weight gain as well as a cough. The cough can be worse at night and when lying down. When symptoms first begin, you might feel tired or short of breath after routine physical activities, such as climbing stairs. As heart failure progresses, the symptoms get worse. You may feel tired or short of breath after performing simple activities, like getting dressed."
What is (are) Heart Failure ?,"In heart failure, the heart cannot pump enough blood through the body. Heart failure develops over time as the pumping action of the heart gets weaker. Heart failure does not mean that the heart has stopped working or is about to stop working. When the heart is weakened by heart failure, blood and fluid can back up into the lungs and fluid builds up in the feet, ankles, and legs. People with heart failure often experience tiredness and shortness of breath."
What causes Heart Failure ?,"Heart failure is caused by other diseases and conditions that damage the heart muscle. It is most commonly caused by coronary artery disease, including heart attack. Diabetes and high blood pressure also contribute to heart failure risk. People who have had a heart attack are at high risk of developing heart failure."
What are the symptoms of Heart Failure ?,"The most common symptoms of heart failure include shortness of breath or difficulty breathing, feeling tired, and swelling. Swelling is caused by fluid build-up in the body. Fluid buildup can lead to weight gain and frequent urination, as well as coughing."
How many people are affected by Heart Failure ?,"Approximately 5 million people in the United States have heart failure. It contributes to 300,000 deaths each year. It is the number one cause of hospitalizations for people over the age of 65."
Who is at risk for Heart Failure? ?,"Heart failure is more common in - people who are 65 years old or older   - African-Americans  - people who are overweight   - people who have had a heart attack  - men. people who are 65 years old or older African-Americans people who are overweight people who have had a heart attack men. Aging can weaken the heart muscle. Older people also may have had diseases for many years that led to heart failure. African Americans are more likely to have heart failure than people of other races. They're also more likely to have symptoms at a younger age, have more hospital visits due to heart failure, and die from heart failure. Excess weight puts strain on the heart. Being overweight also increases your risk of heart disease and type 2 diabetes. These diseases can lead to heart failure. A history of a heart attack puts people at greater risk for heart failure. Men have a higher rate of heart failure than women."
How to prevent Heart Failure ?,"Ways to prevent heart failure include - keeping your cholesterol and blood pressure levels healthy  - keeping diabetes in check   - maintaining a healthy weight   - quitting smoking   - following a heart healthy diet  - limiting the amount of alcohol you drink   - eating a diet low in salt because salt can cause extra fluid to build up in your body and also contribute to high blood pressure. Older adults should limit their sodium (salt) intake to1500 mg a day (about 2/3 tsp of salt).   - getting regular exercise. Aim for at least 30 minutes a day of exercise. Check with your doctor before starting any exercise program. For information about exercises that older adults can do safely, see Exercises to Try or visit Go4Life, the exercise and physical activity campaign for older adults from the National Institute on Aging.  keeping your cholesterol and blood pressure levels healthy keeping diabetes in check maintaining a healthy weight quitting smoking following a heart healthy diet limiting the amount of alcohol you drink eating a diet low in salt because salt can cause extra fluid to build up in your body and also contribute to high blood pressure. Older adults should limit their sodium (salt) intake to1500 mg a day (about 2/3 tsp of salt). getting regular exercise. Aim for at least 30 minutes a day of exercise. Check with your doctor before starting any exercise program. For information about exercises that older adults can do safely, see Exercises to Try or visit Go4Life, the exercise and physical activity campaign for older adults from the National Institute on Aging."
